,NTA,YEAR,Property_Count,pct_change
283,Charleston-Richmond Valley-Tottenville,2015,6253,0.27261064785117917
284,Charleston-Richmond Valley-Tottenville,2016,6266,0.20790020790020236
285,Charleston-Richmond Valley-Tottenville,2017,6284,0.2872646026172987
286,Charleston-Richmond Valley-Tottenville,2018,6281,-0.047740292807130214
287,Charleston-Richmond Valley-Tottenville,2019,6384,1.6398662633338557
288,Chinatown,2011,1955,
289,Chinatown,2012,2065,5.626598465473154
290,Chinatown,2013,2119,2.61501210653754
291,Chinatown,2014,2115,-0.18876828692779846
292,Chinatown,2015,2134,0.8983451536642928
293,Chinatown,2016,2144,0.46860356138707093
294,Chinatown,2017,2163,0.8861940298507509
295,Chinatown,2018,2172,0.4160887656033285
296,Chinatown,2019,2328,7.182320441988943
297,Claremont-Bathgate,2011,708,
298,Claremont-Bathgate,2012,709,0.14124293785311437
299,Claremont-Bathgate,2013,712,0.42313117066290484
300,Claremont-Bathgate,2014,707,-0.7022471910112404
301,Claremont-Bathgate,2015,709,0.28288543140029265
302,Claremont-Bathgate,2016,708,-0.14104372355430161
303,Claremont-Bathgate,2017,716,1.1299435028248483
304,Claremont-Bathgate,2018,713,-0.41899441340782495
305,Claremont-Bathgate,2019,717,0.5610098176718203
306,Clinton,2011,6120,
307,Clinton,2012,6370,4.084967320261446
308,Clinton,2013,6372,0.031397174254310656
309,Clinton,2014,6365,-0.1098556183301902
310,Clinton,2015,6384,0.29850746268655914
311,Clinton,2016,6487,1.61340852130325
312,Clinton,2017,6744,3.9617696932326085
313,Clinton,2018,6779,0.5189798339264584
314,Clinton,2019,6923,2.1242071101932547
315,Clinton Hill,2011,4309,
316,Clinton Hill,2012,4450,3.272220932931069
317,Clinton Hill,2013,4595,3.2584269662921272
318,Clinton Hill,2014,4624,0.6311207834602817
319,Clinton Hill,2015,4699,1.6219723183390933
320,Clinton Hill,2016,4790,1.9365822515428732
321,Clinton Hill,2017,4949,3.31941544885177
322,Clinton Hill,2018,5085,2.748029905031313
323,Clinton Hill,2019,5158,1.4355948869223312
324,Co-op City,2011,937,
325,Co-op City,2012,998,6.510138740661686
326,Co-op City,2013,981,-1.7034068136272507
327,Co-op City,2014,984,0.3058103975535076
328,Co-op City,2015,985,0.10162601626015899
329,Co-op City,2016,996,1.116751269035543
330,Co-op City,2017,994,-0.20080321285140812
331,Co-op City,2018,996,0.2012072434607548
332,Co-op City,2019,1001,0.5020080321285203
333,College Point,2011,4584,
334,College Point,2012,4581,-0.06544502617801262
335,College Point,2013,4607,0.5675616677581319
336,College Point,2014,4720,2.4527892337746993
337,College Point,2015,4734,0.29661016949151797
338,College Point,2016,4725,-0.1901140684410607
339,College Point,2017,4765,0.846560846560851
