zipcode,x,y
10035,1015083,195340
11385,1002505,231502
11385,1015083,195340
10028,998272,222318
11238,995597,184395
11238,983093,199038
11238,980938,197020
10007,995597,184395
10007,983093,199038
10007,980938,197020
10005,995597,184395
10005,983093,199038
10005,980938,197020
10467,1021240,253479
10467,1001303,188977
11221,1021240,253479
11221,1001303,188977
11211,995702,197483
11211,993473,162286
11211,1057847,220671
11230,995702,197483
11230,993473,162286
11230,1057847,220671
11363,995702,197483
11363,993473,162286
11363,1057847,220671
11418,1029008,192684
10463,1009329,258971
10463,980596,195741
10004,1009329,258971
10004,980596,195741
11417,1030209,188313
11369,1021216,215295
11369,982304,185597
11369,1010830,235739
11231,1021216,215295
11231,982304,185597
11231,1010830,235739
10455,1021216,215295
10455,982304,185597
10455,1010830,235739
10011,985393,208400
10011,1022463,264124
10011,1000120,230410
10011,1010889,239867
10466,985393,208400
10466,1022463,264124
10466,1000120,230410
10466,1010889,239867
10029,985393,208400
10029,1022463,264124
10029,1000120,230410
10029,1010889,239867
10456,985393,208400
10456,1022463,264124
10456,1000120,230410
10456,1010889,239867
11233,1002916,187040
11233,1047538,199989
11233,1000638,188057
11233,985887,198801
11233,980748,196128
11423,1002916,187040
11423,1047538,199989
11423,1000638,188057
11423,985887,198801
11423,980748,196128
11216,1002916,187040
11216,1047538,199989
11216,1000638,188057
11216,985887,198801
11216,980748,196128
10002,1002916,187040
10002,1047538,199989
10002,1000638,188057
10002,985887,198801
10002,980748,196128
10004,1002916,187040
10004,1047538,199989
10004,1000638,188057
10004,985887,198801
10004,980748,196128
11355,1036257,216633
11355,1005204,191779
11355,981992,199213
11221,1036257,216633
11221,1005204,191779
11221,981992,199213
10007,1036257,216633
10007,1005204,191779
10007,981992,199213
10452,1007695,246649
10452,1012419,251454
10452,982563,199570
10457,1007695,246649
10457,1012419,251454
10457,982563,199570
10007,1007695,246649
10007,1012419,251454
10007,982563,199570
10001,985679,212629
10001,1036191,205381
11367,985679,212629
11367,1036191,205381
11229,1001491,155736
11229,996342,173944
11229,986524,200197
11229,982797,201893
11229,996495,200379
11226,1001491,155736
11226,996342,173944
11226,986524,200197
11226,982797,201893
11226,996495,200379
10002,1001491,155736
10002,996342,173944
10002,986524,200197
10002,982797,201893
10002,996495,200379
10013,1001491,155736
10013,996342,173944
10013,986524,200197
10013,982797,201893
10013,996495,200379
11211,1001491,155736
11211,996342,173944
11211,986524,200197
11211,982797,201893
11211,996495,200379
11219,984479,173184
11219,1005919,244895
11219,985448,200458
11219,980594,195807
10452,984479,173184
10452,1005919,244895
10452,985448,200458
10452,980594,195807
10013,984479,173184
10013,1005919,244895
10013,985448,200458
10013,980594,195807
10004,984479,173184
10004,1005919,244895
10004,985448,200458
10004,980594,195807
10453,1007213,248747
10453,985969,199611
10453,983478,202289
10002,1007213,248747
10002,985969,199611
10002,983478,202289
10013,1007213,248747
10013,985969,199611
10013,983478,202289
10463,1012851,260358
10463,1018957,212274
11372,1012851,260358
11372,1018957,212274
10023,988136,221187
10023,1005699,247199
10452,988136,221187
10452,1005699,247199
11237,1003927,197329
11237,985098,168368
11219,1003927,197329
11219,985098,168368
10459,1014608,240375
10459,1000779,230666
10459,989781,217263
10035,1014608,240375
10035,1000779,230666
10035,989781,217263
10019,1014608,240375
10019,1000779,230666
10019,989781,217263
10001,987373,210805
10011,985170,210210
10011,1025612,257107
10011,1001798,230235
10011,1016046,242784
10469,985170,210210
10469,1025612,257107
10469,1001798,230235
10469,1016046,242784
10035,985170,210210
10035,1025612,257107
10035,1001798,230235
10035,1016046,242784
10460,985170,210210
10460,1025612,257107
10460,1001798,230235
10460,1016046,242784
10303,940832,169597
10304,953081,151067
10304,985895,199977
10002,953081,151067
10002,985895,199977
10013,982768,200378
10005,982416,196005
11201,985901,190989
11201,1000824,244205
11201,982722,197618
11201,989502,154347
10032,985901,190989
10032,1000824,244205
10032,982722,197618
10032,989502,154347
10038,985901,190989
10038,1000824,244205
10038,982722,197618
10038,989502,154347
11223,985901,190989
11223,1000824,244205
11223,982722,197618
11223,989502,154347
11203,1003842,176803
11203,1001156,229835
10029,1003842,176803
10029,1001156,229835
10030,999834,236320
10030,1000636,233183
10030,984054,201062
10035,999834,236320
10035,1000636,233183
10035,984054,201062
10013,999834,236320
10013,1000636,233183
10013,984054,201062
10038,982939,197333
10038,1016080,215942
11370,982939,197333
11370,1016080,215942
10304,963153,167823
11218,989084,174329
11218,1015530,255253
11218,996958,236703
10458,989084,174329
10458,1015530,255253
10458,996958,236703
